"quant","percent","A","B","blank","read_time_one","read_and_decide_time","response","id","qq","resp","keep","fast_response","slow_response"
"Few1",40,"monter","melelt",821,2069,2688,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",6,"gukbar","soarse",814,2396,1560,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",18,"puggle","entand",1209,1772,1382,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",45,"shrile","athoid",1846,1702,1514,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",91,"chulks","vulhor",703,1524,1152,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",73,"hadder","ollidy",602,2135,1216,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",56,"chevel","podden",592,1446,1366,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",8,"coamin","mucond",551,1547,1293,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",77,"tiklet","hullaw",1173,1211,1225,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Many1",23,"sporer","firtly",1341,1389,979,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",91,"umpond","marire",578,1081,1137,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",64,"sporer","firtly",624,1217,1126,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",61,"bameta","unzast",499,2119,811,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",73,"raster","movell",701,2115,1172,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"More than half1",59,"werner","hurmer",764,2572,981,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",38,"hadder","ollidy",1023,2356,843,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",3,"shurry","preser",903,1324,1362,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",81,"birler","enciad",615,2314,1333,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",47,"spunge","wenple",711,1171,1238,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",96,"pirter","secent",833,1327,796,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",26,"tecker","biller",1205,2043,824,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"More than half1",12,"pobbit","spippy",713,2188,1295,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",41,"jallem","sildal",1729,1205,1382,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Few1",94,"dorder","coggon",1439,1292,1319,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",27,"bemble","squank",1276,5018,2302,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",5,"kustle","reshix",1339,3650,1690,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",95,"pliper","sesare",2515,2233,1388,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Most1",76,"cather","funder",817,2312,1238,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",35,"umpond","marire",902,2246,1034,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Many1",71,"raster","movell",784,1068,791,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",29,"mecket","plumry",856,3462,1104,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",64,"strant","potind",2600,2834,970,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",44,"werner","hurmer",1529,1008,1280,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",19,"mecket","plumry",1161,1541,701,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",80,"devole","sholly",546,1113,949,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",85,"russer","huttle",1254,945,1455,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",30,"chulks","vulhor",963,3791,848,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",44,"boddle","molill",768,1013,2166,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",26,"tiklet","hullaw",647,2951,777,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",62,"clidge","hensly",1034,1835,756,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Few1",94,"coppar","hunene",555,2124,1172,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",4,"bameta","unzast",614,1566,1531,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",8,"gukbar","soarse",1193,3052,1078,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",34,"pirter","secent",1085,709,956,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Most1",22,"shrile","athoid",683,2124,778,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"More than half1",97,"shurry","preser",1494,1151,872,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",67,"coppar","hunene",503,965,796,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Most1",71,"bameta","unzast",402,1273,609,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",97,"strant","potind",815,2006,1504,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",90,"pobbit","spippy",1359,1290,494,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Few1",71,"coamin","mucond",397,954,756,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",80,"mecket","plumry",577,1705,799,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",45,"pliper","sesare",348,2939,1382,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"More than half1",19,"russer","huttle",472,1533,682,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",54,"pobbit","spippy",1052,1389,1789,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",20,"russer","huttle",1701,760,851,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",85,"pobbit","spippy",412,864,944,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",19,"shamer","bloifs",1207,693,1771,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",88,"tecker","biller",540,1145,1365,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",69,"zetten","unfobs",565,1505,1963,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Few1",76,"umpond","marire",1626,808,639,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",42,"pengyl","sedest",486,924,1427,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",58,"kustle","reshix",1340,1660,891,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",2,"cosutz","spover",1390,2190,1157,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Few1",88,"clidge","hensly",889,1651,1024,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",6,"russer","huttle",1304,1168,808,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",14,"cosutz","spover",541,718,772,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",92,"sporer","firtly",843,1188,667,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",28,"kustle","reshix",366,825,551,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",10,"clidge","hensly",386,1426,658,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",20,"gukbar","soarse",412,734,714,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",26,"jallem","sildal",813,609,501,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",6,"awplor","fasees",532,833,513,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",26,"hadder","ollidy",788,1588,920,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",25,"puctor","recure",259,2506,525,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",44,"gukbar","soarse",521,1872,852,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Most1",98,"awplor","fasees",743,1284,561,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",87,"middor","drooty",295,753,488,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",34,"mecket","plumry",343,638,657,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",6,"spunge","wenple",513,2082,739,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",31,"chulks","vulhor",2442,2246,1009,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",91,"padnet","fanely",650,3180,2535,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Most1",24,"schook","jabant",424,933,2594,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",99,"menner","nandow",505,4743,886,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",71,"fleeve","scalfs",2036,1012,617,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",94,"pengyl","sedest",984,1629,746,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Most1",3,"strant","potind",880,595,1834,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",27,"werner","hurmer",395,1113,964,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",45,"coamin","mucond",754,634,1312,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Few1",26,"pliper","sesare",608,654,511,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Fewer than half1",89,"birler","enciad",433,1185,837,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",18,"ingell","nalill",935,777,1123,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Most1",44,"beckel","racual",409,1100,1271,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",93,"menner","nandow",1636,863,1603,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",18,"awplor","fasees",5890,1026,869,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Few1",80,"sporer","firtly",462,568,1325,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",7,"coppar","hunene",774,1093,689,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Many1",38,"padnet","fanely",1080,513,576,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",27,"tiklet","hullaw",440,624,528,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Fewer than half1",92,"pluset","stubad",497,282,1693,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Many1",95,"ancits","smeath",1363,851,1310,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",44,"cather","funder",2111,2725,1402,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Few1",29,"strant","potind",1881,1062,1621,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",46,"cather","funder",396,794,547,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Many1",67,"pluset","stubad",676,653,762,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",36,"schook","jabant",562,1020,590,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",58,"menner","nandow",477,1229,777,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",68,"tecker","biller",518,797,485,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",57,"puggle","entand",294,2625,886,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Few1",90,"beckel","racual",302,665,618,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Most1",20,"ancits","smeath",780,599,460,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"More than half1",55,"zetten","unfobs",335,1386,723,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",23,"birler","enciad",614,726,497,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",33,"raster","movell",503,833,597,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Few1",49,"devole","sholly",428,728,534,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",17,"birler","enciad",507,1421,551,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Fewer than half1",94,"dorder","coggon",300,2842,756,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",75,"kustle","reshix",326,923,1073,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",42,"raster","movell",535,1090,743,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",25,"beckel","racual",583,985,510,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",41,"strant","potind",349,1814,622,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Most1",74,"ingell","nalill",486,1562,467,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",68,"coppar","hunene",377,1490,563,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"More than half1",89,"fleeve","scalfs",467,788,503,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",74,"tiklet","hullaw",870,979,609,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",66,"schook","jabant",1238,658,444,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Few1",36,"bemble","squank",1025,739,1649,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",11,"devole","sholly",677,652,574,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"More than half1",20,"padnet","fanely",610,661,510,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",7,"shamer","bloifs",521,690,577,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",53,"puctor","recure",628,796,536,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",94,"chevel","podden",495,675,725,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",51,"boddle","molill",404,971,567,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",78,"umpond","marire",439,653,1056,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",77,"ingell","nalill",484,589,464,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",47,"clidge","hensly",469,540,579,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Many1",27,"middor","drooty",358,896,1008,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",93,"ingell","nalill",454,608,466,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",39,"monter","melelt",379,942,470,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",8,"schook","jabant",456,666,505,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",64,"bemble","squank",451,572,621,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",41,"puggle","entand",630,614,500,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",85,"ancits","smeath",365,565,666,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",48,"werner","hurmer",502,940,1279,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Fewer than half1",14,"chadop","shaple",744,3163,567,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",8,"boddle","molill",357,698,708,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",33,"pluset","stubad",411,638,368,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",48,"hadder","ollidy",1868,662,762,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Many1",13,"devole","sholly",476,640,561,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",80,"dorder","coggon",437,599,437,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Many1",31,"beckel","racual",305,3165,618,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",43,"sporer","firtly",853,710,592,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",88,"coppar","hunene",878,549,500,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",36,"chadop","shaple",347,587,600,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",19,"padnet","fanely",281,588,647,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",90,"bameta","unzast",342,497,573,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Many1",33,"menner","nandow",491,584,478,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Fewer than half1",97,"tecker","biller",347,1525,1075,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",6,"chadop","shaple",479,925,702,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Few1",31,"awplor","fasees",868,664,691,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",21,"menner","nandow",496,1003,889,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",94,"raster","movell",473,720,3387,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",7,"kustle","reshix",988,941,889,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Few1",46,"pluset","stubad",971,677,792,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",24,"pirter","secent",927,1231,570,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",91,"puctor","recure",986,739,1612,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",9,"jallem","sildal",987,3130,558,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",46,"fleeve","scalfs",587,2189,682,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"More than half1",40,"chevel","podden",809,692,495,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"More than half1",81,"spunge","wenple",1056,718,475,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",1,"dorder","coggon",315,466,407,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Few1",91,"shrile","athoid",376,914,651,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Most1",2,"pengyl","sedest",277,614,438,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Many1",86,"puggle","entand",394,546,577,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",28,"zetten","unfobs",427,661,532,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Fewer than half1",59,"cather","funder",467,2560,611,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"More than half1",56,"ancits","smeath",330,862,633,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",61,"chevel","podden",351,599,391,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",31,"monter","melelt",290,537,412,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Fewer than half1",15,"clidge","hensly",416,516,556,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",93,"beckel","racual",345,217,981,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Many1",47,"puctor","recure",343,595,442,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"More than half1",92,"shrile","athoid",266,493,359,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",66,"jallem","sildal",381,511,371,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"More than half1",65,"coamin","mucond",452,657,489,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",82,"pengyl","sedest",595,679,459,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",64,"bemble","squank",312,394,554,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Few1",14,"cosutz","spover",771,499,1117,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",55,"monter","melelt",1293,1237,957,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",71,"pliper","sesare",996,717,515,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",31,"shurry","preser",601,1981,715,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"More than half1",63,"chadop","shaple",452,645,530,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",86,"russer","huttle",503,644,434,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",21,"isbant","unairs",683,458,480,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",97,"zetten","unfobs",612,440,418,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",84,"dorder","coggon",456,488,501,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",96,"bameta","unzast",402,727,873,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Many1",18,"cather","funder",312,805,443,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Few1",57,"fleeve","scalfs",273,586,577,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",75,"devole","sholly",304,1304,485,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",37,"ancits","smeath",1068,1739,565,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Few1",31,"chulks","vulhor",319,514,558,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Most1",12,"shurry","preser",259,419,432,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Many1",92,"spunge","wenple",334,584,660,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Most1",16,"coamin","mucond",358,648,491,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",23,"shamer","bloifs",511,527,517,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Fewer than half1",23,"mecket","plumry",367,625,431,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Many1",14,"chulks","vulhor",292,324,563,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Few1",33,"isbant","unairs",356,474,535,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",76,"padnet","fanely",249,869,508,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",67,"puggle","entand",586,806,909,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"More than half1",31,"isbant","unairs",583,913,452,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Many1",67,"hadder","ollidy",265,543,545,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",85,"middor","drooty",513,497,619,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",12,"zetten","unfobs",386,557,553,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",74,"awplor","fasees",252,562,440,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"More than half1",51,"shamer","bloifs",182,556,400,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"More than half1",32,"boddle","molill",299,533,513,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",97,"puctor","recure",244,631,497,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",56,"isbant","unairs",276,598,1005,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Many1",92,"pirter","secent",351,439,413,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Few1",51,"tiklet","hullaw",292,511,462,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Few1",98,"pobbit","spippy",318,572,686,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",47,"chevel","podden",780,693,2745,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Few1",99,"birler","enciad",797,570,574,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Fewer than half1",16,"middor","drooty",888,2141,470,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",47,"ingell","nalill",361,561,615,FALSE,1,"More than half1",0,TRUE,FALSE,FALSE
"Most1",45,"middor","drooty",373,435,488,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Fewer than half1",46,"fleeve","scalfs",544,512,428,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"More than half1",95,"gukbar","soarse",388,560,567,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",9,"shurry","preser",528,738,471,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Many1",96,"shamer","bloifs",1564,661,991,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"More than half1",71,"monter","melelt",754,636,721,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Most1",57,"isbant","unairs",395,441,661,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Fewer than half1",69,"pirter","secent",301,468,450,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Fewer than half1",98,"umpond","marire",422,996,960,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Few1",92,"schook","jabant",1196,948,1365,FALSE,1,"Few1",1,TRUE,FALSE,FALSE
"Many1",46,"pliper","sesare",1267,805,773,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Most1",21,"spunge","wenple",376,583,470,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",83,"pluset","stubad",340,609,483,TRUE,1,"Most1",1,TRUE,FALSE,FALSE
"Many1",31,"chadop","shaple",324,475,497,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Fewer than half1",49,"shrile","athoid",240,427,499,TRUE,1,"Fewer than half1",0,TRUE,FALSE,FALSE
"Fewer than half1",93,"bemble","squank",303,690,661,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"Most1",9,"werner","hurmer",243,594,537,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Most1",77,"boddle","molill",403,661,819,FALSE,1,"Most1",0,TRUE,FALSE,FALSE
"Many1",27,"pengyl","sedest",874,904,1559,TRUE,1,"Many1",0,TRUE,FALSE,FALSE
"Many1",81,"cosutz","spover",334,484,480,FALSE,1,"Many1",1,TRUE,FALSE,FALSE
"Fewer than half1",82,"jallem","sildal",360,596,576,FALSE,1,"Fewer than half1",1,TRUE,FALSE,FALSE
"More than half1",72,"cosutz","spover",255,507,405,TRUE,1,"More than half1",1,TRUE,FALSE,FALSE
"Few1",1,"tecker","biller",262,670,1090,TRUE,1,"Few1",0,TRUE,FALSE,FALSE
"Many1",41,"bemble","squank",500,2030,1696,TRUE,2,"Many1",0,TRUE,FALSE,FALSE
"Few1",64,"coamin","mucond",1131,2281,1184,FALSE,2,"Few1",1,TRUE,FALSE,FALSE
"More than half1",64,"boddle","molill",1588,3575,863,TRUE,2,"More than half1",1,TRUE,FALSE,FALSE
"Few1",18,"shurry","preser",733,2085,1180,TRUE,2,"Few1",0,TRUE,FALSE,FALSE
"Many1",99,"umpond","marire",831,1016,913,FALSE,2,"Many1",1,TRUE,FALSE,FALSE
"More than half1",69,"dorder","coggon",651,1105,724,TRUE,2,"More than half1",1,TRUE,FALSE,FALSE
"Most1",95,"shurry","preser",750,767,748,TRUE,2,"Most1",1,TRUE,FALSE,FALSE
"Few1",58,"dorder","coggon",694,732,1204,FALSE,2,"Few1",1,TRUE,FALSE,FALSE
"Many1",26,"pobbit","spippy",676,720,996,TRUE,2,"Many1",0,TRUE,FALSE,FALSE
"More than half1",68,"awplor","fasees",688,765,473,TRUE,2,"More than half1",1,TRUE,FALSE,FALSE
